iter	RMSE_SumError	RMSE_SumWeight
0	4.753899664e+10	75312
1	4.746557367e+10	75312
2	4.742905341e+10	75312
3	4.740807955e+10	75312
4	4.740041067e+10	75312
5	4.73969832e+10	75312
6	4.739583883e+10	75312
7	4.739146516e+10	75312
8	4.738819815e+10	75312
9	4.738359916e+10	75312
10	4.73851613e+10	75312
11	4.738016924e+10	75312
12	4.738135547e+10	75312
13	4.738027621e+10	75312
14	4.738017436e+10	75312
15	4.738038342e+10	75312
16	4.738331956e+10	75312
17	4.738653911e+10	75312
18	4.738783758e+10	75312
19	4.738736103e+10	75312
20	4.73886516e+10	75312
21	4.739159252e+10	75312
22	4.739572501e+10	75312
23	4.739818104e+10	75312
24	4.739817065e+10	75312
25	4.740103588e+10	75312
26	4.740312388e+10	75312
27	4.740282387e+10	75312
28	4.740281616e+10	75312
29	4.740522815e+10	75312
30	4.740654493e+10	75312
31	4.740836501e+10	75312
32	4.741055358e+10	75312
33	4.741198854e+10	75312
34	4.740921496e+10	75312
35	4.741082163e+10	75312
36	4.741080809e+10	75312
37	4.74134648e+10	75312
38	4.741318342e+10	75312
39	4.741072646e+10	75312
40	4.741268911e+10	75312
41	4.742030773e+10	75312
42	4.742622805e+10	75312
43	4.742905341e+10	75312
44	4.742972438e+10	75312
45	4.74293575e+10	75312
46	4.74295436e+10	75312
47	4.742969597e+10	75312
48	4.743091097e+10	75312
49	4.7431457e+10	75312
50	4.743203647e+10	75312
51	4.74334091e+10	75312
52	4.743280623e+10	75312
53	4.743294182e+10	75312
54	4.74334955e+10	75312
55	4.743348575e+10	75312
56	4.743381652e+10	75312
57	4.744198511e+10	75312
58	4.744147148e+10	75312
59	4.744170424e+10	75312
60	4.744338264e+10	75312
61	4.744576549e+10	75312
62	4.744596218e+10	75312
63	4.744622324e+10	75312
64	4.744616724e+10	75312
65	4.744708381e+10	75312
66	4.745031102e+10	75312
67	4.745055283e+10	75312
68	4.745681085e+10	75312
69	4.745703109e+10	75312
70	4.745911392e+10	75312
71	4.746261494e+10	75312
72	4.746730681e+10	75312
73	4.746989538e+10	75312
74	4.747303437e+10	75312
75	4.74740097e+10	75312
76	4.747680539e+10	75312
77	4.74805645e+10	75312
78	4.748389907e+10	75312
79	4.748382063e+10	75312
80	4.748399494e+10	75312
81	4.748408414e+10	75312
82	4.748430897e+10	75312
83	4.748454662e+10	75312
84	4.748461327e+10	75312
85	4.748537069e+10	75312
86	4.74858386e+10	75312
87	4.748529294e+10	75312
88	4.748436685e+10	75312
89	4.748331047e+10	75312
90	4.748349225e+10	75312
91	4.748824357e+10	75312
92	4.748911522e+10	75312
93	4.749153589e+10	75312
94	4.749316821e+10	75312
95	4.749143708e+10	75312
96	4.748942055e+10	75312
97	4.749283469e+10	75312
98	4.74923838e+10	75312
99	4.749421428e+10	75312
100	4.749621965e+10	75312
101	4.749910632e+10	75312
102	4.750040943e+10	75312
103	4.749944309e+10	75312
104	4.750313089e+10	75312
105	4.750410505e+10	75312
106	4.750858678e+10	75312
107	4.751551885e+10	75312
108	4.751512137e+10	75312
109	4.751819746e+10	75312
110	4.75181604e+10	75312
111	4.752147522e+10	75312
112	4.752167133e+10	75312
113	4.752309718e+10	75312
114	4.75251467e+10	75312
115	4.752513213e+10	75312
116	4.75282705e+10	75312
117	4.752849253e+10	75312
118	4.752844549e+10	75312
119	4.752804059e+10	75312
120	4.75292003e+10	75312
121	4.752937209e+10	75312
122	4.753169472e+10	75312
123	4.753149008e+10	75312
124	4.753107724e+10	75312
125	4.753365043e+10	75312
126	4.753452865e+10	75312
127	4.753412407e+10	75312
128	4.753393833e+10	75312
129	4.753337542e+10	75312
130	4.753312514e+10	75312
131	4.753874905e+10	75312
132	4.754055944e+10	75312
133	4.75399092e+10	75312
134	4.753933687e+10	75312
135	4.753983812e+10	75312
136	4.754064698e+10	75312
137	4.75437459e+10	75312
138	4.754392998e+10	75312
139	4.754356883e+10	75312
140	4.75432687e+10	75312
141	4.75443787e+10	75312
142	4.754417982e+10	75312
143	4.754365523e+10	75312
144	4.754489069e+10	75312
145	4.75449166e+10	75312
146	4.754469786e+10	75312
147	4.754599241e+10	75312
148	4.75474198e+10	75312
149	4.754886284e+10	75312
150	4.754797436e+10	75312
151	4.754726606e+10	75312
152	4.754930618e+10	75312
153	4.754908075e+10	75312
154	4.755089156e+10	75312
155	4.755039703e+10	75312
156	4.755016654e+10	75312
157	4.755215268e+10	75312
158	4.755451054e+10	75312
159	4.755443093e+10	75312
160	4.755434913e+10	75312
161	4.75565177e+10	75312
162	4.75593882e+10	75312
163	4.756224029e+10	75312
164	4.75651496e+10	75312
